id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
211,11,1-0 1-2 1-3 1-4 1-5 0-6 0-7 0-8 0-9 0-10,1986,S,1,9,2 1 2 2 2 2 1 1 1 1 1,7 7 9 9 9 9 9 9 9 9 9,797
212,11,1-0 1-2 1-3 1-4 0-5 0-9 5-6 5-7 5-8 9-10,0,U,5,7,5 6 5 5 5 6 5 5 5 6 6,6 7 7 7 7 7 7 7 7 7 6,259
213,11,1-0 1-2 1-3 1-4 0-5 0-9 0-10 5-6 5-7 5-8,0,U,3,7,3 4 3 3 3 4 3 3 3 4 4,7 7 7 7 7 7 7 7 7 7 7,610
214,11,1-0 1-2 1-3 1-4 0-5 0-8 5-6 5-7 8-9 8-10,0,U,5,6,5 6 5 5 5 6 5 5 6 5 5,6 6 6 6 6 6 6 6 6 6 6,257
215,11,1-0 1-2 1-3 1-4 0-5 0-8 0-10 5-6 5-7 8-9,0,U,3,7,3 4 3 3 3 4 3 3 4 4 4,6 7 7 7 7 7 7 7 7 6 7,617
216,11,1-0 1-2 1-3 1-4 0-5 0-8 0-9 0-10 5-6 5-7,221,S,1,7,1 2 1 1 1 2 1 1 2 2 2,7 7 7 7 7 7 7 7 7 7 7,925
217,11,1-0 1-2 1-3 1-4 0-5 0-7 0-9 5-6 7-8 9-10,0,U,3,6,3 4 3 3 3 4 4 4 4 4 4,6 5 5 5 5 5 5 5 5 5 5,620
218,11,1-0 1-2 1-3 1-4 0-5 0-7 0-9 0-10 5-6 7-8,29,S,1,7,1 2 1 1 1 2 2 2 2 2 2,6 7 7 7 7 7 7 7 7 7 7,945
219,11,1-0 1-2 1-3 1-4 0-5 0-7 0-8 0-9 0-10 5-6,2047,F,1,8,1 1 1 1 1 1 1 1 1 1 1,8 7 7 7 7 7 6 7 7 7 7,950
220,11,1-0 1-2 1-3 1-4 0-5 0-6 0-7 0-8 0-9 0-10,0,U,3,9,4 3 4 4 4 3 3 3 3 3 3,7 7 9 9 9 9 9 9 9 9 9,561
221,11,1-0 1-2 1-3 0-4 0-7 0-10 4-5 4-6 7-8 7-9,0,U,3,6,3 4 3 3 4 3 3 4 3 3 4,6 6 6 6 6 6 6 6 6 6 6,623
222,11,1-0 1-2 1-3 0-4 0-7 0-9 4-5 4-6 7-8 9-10,0,U,3,6,3 4 3 3 4 3 3 4 4 4 4,6 5 5 5 5 5 5 5 5 5 5,622
223,11,1-0 1-2 1-3 0-4 0-7 0-9 0-10 4-5 4-6 7-8,109,S,1,7,1 2 1 1 2 1 1 2 2 2 2,6 7 7 7 7 7 7 7 6 7 7,964
224,11,1-0 1-2 1-3 0-4 0-7 0-8 0-9 0-10 4-5 4-6,2047,F,1,7,1 1 1 1 1 1 1 1 1 1 1,7 7 7 7 7 7 7 7 7 7 7,983
225,11,1-0 1-2 1-3 0-4 0-6 0-8 0-10 4-5 6-7 8-9,13,S,1,6,1 2 1 1 2 2 2 2 2 2 2,6 5 5 5 5 5 5 5 5 5 5,976
226,11,1-0 1-2 1-3 0-4 0-6 0-8 0-9 0-10 4-5 6-7,2047,F,1,7,1 1 1 1 1 1 1 1 1 1 1,6 7 7 7 7 7 7 7 7 7 7,1058
227,11,1-0 1-2 1-3 0-4 0-6 0-7 0-8 0-9 0-10 4-5,0,U,2,8,3 2 3 3 2 3 2 2 2 2 2,8 7 7 7 7 6 7 7 7 7 7,719
228,11,1-0 1-2 1-3 0-4 0-5 0-6 0-7 0-8 0-9 0-10,0,U,5,9,6 5 6 6 5 5 5 5 5 5 5,7 7 9 9 9 9 9 9 9 9 9,259
229,11,1-0 1-2 0-3 0-5 0-7 0-9 3-4 5-6 7-8 9-10,1,S,1,5,1 2 2 2 2 2 2 2 2 2 2,4 5 5 5 5 5 5 5 5 5 5,987
230,11,1-0 1-2 0-3 0-5 0-7 0-9 0-10 3-4 5-6 7-8,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 5 5 5 5 5 5 5 5 5 5,1106
231,11,1-0 1-2 0-3 0-5 0-7 0-8 0-9 0-10 3-4 5-6,1962,S,1,7,2 1 3 1 3 1 3 1 1 1 1,6 7 7 7 7 7 7 7 7 7 7,788
232,11,1-0 1-2 0-3 0-5 0-6 0-7 0-8 0-9 0-10 3-4,0,U,5,8,6 5 5 5 5 5 5 5 5 5 5,8 7 7 7 7 7 7 7 7 7 7,279
